Path,Name,Default Culture,Key,en,Comment,fr-fr
eVolveMEP Data Table Tools/ToolsDialog,SQLImportSourceGroupBox.Text,Source,eVolveMEP Data Table Tools/ToolsDialog!SQLImportSourceGroupBox.Text,Source,,Source
eVolveMEP Data Table Tools/ToolsDialog,SQLImportSourceTableRadioButton.Text,Table,eVolveMEP Data Table Tools/ToolsDialog!SQLImportSourceTableRadioButton.Text,Table,,Tableau
eVolveMEP Data Table Tools/ToolsDialog,SQLImportSourceViewRadioButton.Text,View,eVolveMEP Data Table Tools/ToolsDialog!SQLImportSourceViewRadioButton.Text,View,,Vue
eVolveMEP Data Table Tools/ToolsDialog,SqlServerToolsTabPage.Text,SQL Server Tools,eVolveMEP Data Table Tools/ToolsDialog!SqlServerToolsTabPage.Text,SQL Server Tools,,Outils du serveur SQL
eVolveMEP Data Table Tools/AddMappingDialog,SQLTableColumnGroupBox.Text,Destination SQL Table Column,eVolveMEP Data Table Tools/AddMappingDialog!SQLTableColumnGroupBox.Text,Destination SQL Table Column,,Colonne du tableau SQL de destination
eVolveMEP Data Table Tools/Properties/Resources,StatementToRunAfterImport,Enter the SQL statement to execute after importing data.,eVolveMEP Data Table Tools/Properties/Resources!StatementToRunAfterImport,Enter the SQL statement to execute after importing data.,,Saisissez l'énoncé SQL à exécuter après l'importation des données.
eVolveMEP Data Table Tools/Properties/Resources,StatementToRunPriorToImport,Enter the SQL statement to execute prior to importing data.,eVolveMEP Data Table Tools/Properties/Resources!StatementToRunPriorToImport,Enter the SQL statement to execute prior to importing data.,,Saisissez l'énoncé SQL à exécuter avant l'importation des données.
eVolveMEP Data Table Tools/Properties/Resources,ToolTipText,Advanced tools for working with {0} Data Tables.,eVolveMEP Data Table Tools/Properties/Resources!ToolTipText,Advanced tools for working with {0} Data Tables.,Tag is a product name,Outils avancés pour travailler avec les tableaux de données {0}.
eVolveMEP CSV Data Exchange/Properties/Resources,ToolTipText,Imports/Exports data from Revit using the {0} Integration Platform.,eVolveMEP CSV Data Exchange/Properties/Resources!ToolTipText,Imports/Exports data from Revit using the {0} Integration Platform.,Tag is a product name,Importe/exporte les données Revit via la plateforme d'intégration {0}.
eVolveMEP CSV Data Exchange/Properties/Resources,UniqueId,Unique Id,eVolveMEP CSV Data Exchange/Properties/Resources!UniqueId,Unique Id,,ID unique
eVolveMEP CSV Data Exchange/Properties/Resources,ValidationErrors,Validation Errors,eVolveMEP CSV Data Exchange/Properties/Resources!ValidationErrors,Validation Errors,,Erreurs de validation
